Price,Close,High,Low,Open,Volume
Ticker,DHR,DHR,DHR,DHR,DHR
Date,,,,,
2020-01-02,133.68214416503906,133.794186527684,131.9756676296779,132.69101502194928,2915993
2020-01-03,132.85476684570312,133.85451461402374,131.37237506239504,132.23422454071925,2627112
2020-01-06,133.25119018554688,133.3804698135873,132.08768836733444,132.2514425628523,3101323
2020-01-07,134.56121826171875,135.02662495498984,132.8116635090227,133.6045637819249,2241562
2020-01-08,134.69911193847656,135.94880021947944,134.68187465412962,135.5695799638463,3144977
2020-01-09,135.8884735107422,136.89683983898533,134.78530211594907,135.29380201835355,2374327
2020-01-10,136.27635192871094,136.67280959467948,135.62995356028392,136.37977566765926,2250924
2020-01-13,137.5260009765625,137.68113654028022,136.31940587068797,136.56072785869333,2564282
2020-01-14,139.0946044921875,139.61170829829226,137.34503459346385,137.77596679368025,3430361
2020-01-15,138.5861358642578,139.9392484450531,138.12934762863654,139.23251947673342,3000706
2020-01-16,139.19798278808594,139.58582168302735,138.28442155859784,139.31864377762327,2737656
2020-01-17,140.5338592529297,140.62866431733298,139.16350997434313,139.83576406738462,2942726
2020-01-21,141.0940704345703,141.4905279750397,140.13741598628513,140.40457905984096,2586617
2020-01-22,141.1457977294922,141.8094184161197,140.55111135372746,141.22336551763541,2123347
2020-01-23,140.03399658203125,141.3698713274567,139.80129323591126,141.01650698705228,2428922
2020-01-24,139.83578491210938,140.92171915936166,139.2928103714062,140.74934628929716,2222950
2020-01-27,138.93081665039062,139.50825082485122,137.5604674193286,138.45679134481367,2648093
2020-01-28,141.13719177246094,141.45608159682422,138.76709436780004,139.1893930848291,2375004
2020-01-29,142.3955078125,143.22288284441603,140.79245478114177,141.83529592401396,2141170
2020-01-30,145.69635009765625,145.81701107504398,140.97339403365174,142.20584489710475,4325316
2020-01-31,138.6464080810547,144.18812092895124,138.18962003752623,144.13640907496688,4227180
2020-02-03,138.7584686279297,140.5855913733456,138.33615509834257,139.62031813987187,3381180
2020-02-04,140.27529907226562,141.17162292820834,140.00812119348794,140.6975976594092,2951299
2020-02-05,140.3873748779297,141.5250359144864,139.68066088634518,141.15443421318383,2195088
2020-02-06,141.3267822265625,142.30929266016585,140.10294979736997,141.0682229455741,2080370
2020-02-07,139.61166381835938,141.21471625828087,139.36172322186434,140.81825876039218,1874285
2020-02-10,140.4735565185547,141.05962430523329,139.08598451546342,139.93059678563958,1883534
2020-02-11,141.06822204589844,141.60256305571403,140.49939163135167,140.98203561945198,1862328
2020-02-12,141.19752502441406,142.09384917346023,140.6373131599133,140.9648216345445,1865035
2020-02-13,140.84414672851562,141.1630365276309,139.57722100942732,140.69762979378697,3083952
2020-02-14,143.02462768554688,143.03324632839806,140.4993949984524,140.85275935535142,1842926
2020-02-18,141.34396362304688,143.41240738476415,140.76651479050219,143.31760235255533,2162038
2020-02-19,141.26646423339844,142.03350866741468,140.21500456511683,141.72323750276155,2980627
2020-02-20,138.12069702148438,141.17166731528366,136.80205932964296,140.89587070853935,2739686
2020-02-21,139.5168914794922,139.6892643450805,136.9744213803722,137.30192982498997,2194862
2020-02-24,135.1559295654297,137.12956938697235,133.8459105023899,133.8459105023899,2782889
2020-02-25,130.7001190185547,136.17289798744855,129.92445598263606,135.940194626427,3595726
2020-02-26,131.16552734375,134.02688718668108,129.70899149296605,130.49328801562461,3613097
2020-02-27,126.7355728149414,131.97563235819754,126.72695417396443,129.14876262019678,4781028
2020-02-28,124.60682678222656,126.52015091220501,121.71100690654345,122.52114460675134,8959478
2020-03-02,129.8727264404297,129.8985823659114,123.26230974677185,125.23595647398191,5282086
2020-03-03,127.15787506103516,134.3888260446571,125.90818691743105,130.86384628571798,3502891
2020-03-04,134.4319305419922,134.5698288131888,128.6747518902906,129.7779232257121,3906602
2020-03-05,128.82125854492188,131.9670181036319,127.04583327880061,131.84635712594354,5069458
